iter	Passed	Remaining
0	149	149057
1	287	143646
2	425	141483
3	568	141609
4	701	139613
5	844	139934
6	984	139657
7	1132	140425
8	1270	139880
9	1409	139520
10	1557	140043
11	1700	139999
12	1838	139621
13	1979	139434
14	2124	139540
15	2271	139671
16	2417	139783
17	2569	140166
18	2713	140106
19	2858	140058
20	3004	140047
21	3156	140341
22	3309	140588
23	3444	140075
24	3586	139862
25	3731	139791
26	3871	139501
27	4010	139237
28	4160	139305
29	4301	139096
30	4437	138699
31	4573	138338
32	4716	138210
33	4857	138012
34	5001	137901
35	5140	137652
36	5279	137404
37	5422	137268
38	5560	137013
39	5705	136928
40	5857	137005
41	6005	136988
42	6153	136952
43	6299	136860
44	6441	136706
45	6575	136377
46	6711	136095
47	6859	136043
48	7019	136229
49	7165	136149
50	7311	136056
51	7450	135827
52	7609	135957
53	7769	136103
54	7922	136117
55	8076	136139
56	8228	136130
57	8373	135993
58	8520	135900
59	8673	135891
60	8822	135801
61	8972	135741
62	9130	135798
63	9287	135832
64	9430	135660
65	9567	135393
66	9708	135198
67	9840	134869
68	9978	134642
69	10125	134528
70	10268	134355
71	10403	134083
72	10540	133850
73	10681	133657
74	10814	133377
75	10957	133214
76	11101	133074
77	11237	132827
78	11379	132668
79	11517	132455
80	11658	132277
81	11792	132016
82	11930	131806
83	12069	131613
84	12207	131408
85	12340	131152
86	12481	130988
87	12619	130785
88	12752	130530
89	12887	130304
90	13025	130113
91	13161	129902
92	13292	129639
93	13423	129377
94	13560	129185
95	13692	128934
96	13821	128665
97	13960	128496
98	14089	128229
99	14237	128134
100	14372	127930
101	14513	127772
102	14642	127516
103	14773	127277
104	14910	127093
105	15053	126959
106	15203	126889
107	15347	126760
108	15481	126553
109	15621	126394
110	15757	126198
111	15887	125961
112	16020	125755
113	16154	125549
114	16296	125412
115	16435	125249
116	16570	125057
117	16712	124918
118	16853	124774
119	16992	124610
120	17135	124480
121	17271	124296
122	17409	124130
123	17541	123919
124	17669	123685
125	17804	123500
126	17949	123386
127	18079	123167
128	18220	123026
129	18362	122890
130	18492	122668
131	18627	122487
132	18760	122299
133	18892	122099
134	19031	121942
135	19162	121739
136	19309	121633
137	19440	121435
138	19578	121276
139	19724	121162
140	19863	121010
141	19992	120799
142	20135	120670
143	20273	120511
144	20402	120302
145	20544	120171
146	20676	119980
147	20809	119797
148	20950	119655
149	21091	119520
150	21225	119338
151	21354	119136
152	21495	118998
153	21625	118799
154	21764	118650
155	21903	118503
156	22035	118315
157	22172	118158
158	22307	117989
159	22444	117836
160	22583	117688
161	22720	117529
162	22859	117384
163	23002	117258
164	23146	117134
165	23291	117016
166	23437	116906
167	23575	116755
168	23703	116551
169	23839	116390
170	23971	116212
171	24104	116040
172	24246	115907
173	24379	115732
174	24513	115563
175	24653	115425
176	24793	115280
177	24921	115088
178	25054	114916
179	25187	114743
180	25329	114614
181	25463	114444
182	25598	114284
183	25730	114107
184	25867	113958
185	26005	113807
186	26148	113681
187	26283	113524
188	26420	113370
189	26562	113239
190	26697	113080
191	26825	112889
192	26975	112792
193	27110	112634
194	27257	112524
195	27391	112362
196	27529	112212
197	27666	112063
198	27817	111968
199	27963	111853
200	28113	111754
201	28270	111680
202	28420	111581
203	28566	111465
204	28707	111328
205	28848	111193
206	28980	111020
207	29108	110837
208	29241	110668
209	29370	110490
210	29507	110339
211	29638	110167
212	29775	110016
213	29916	109879
214	30057	109744
215	30189	109577
216	30330	109440
217	30462	109272
218	30597	109116
219	30731	108955
220	30877	108838
221	31013	108685
222	31161	108574
223	31297	108423
224	31433	108272
225	31568	108116
226	31704	107961
227	31838	107804
228	31972	107645
229	32111	107503
230	32253	107371
231	32391	107228
232	32525	107070
233	32658	106907
234	32797	106766
235	32932	106610
236	33069	106463
237	33197	106289
238	33336	106145
239	33475	106007
240	33607	105843
241	33746	105701
242	33891	105580
243	34033	105447
244	34167	105292
245	34292	105107
246	34433	104972
247	34559	104792
248	34695	104644
249	34826	104478
250	34956	104312
251	35098	104181
252	35245	104065
253	35392	103946
254	35530	103804
255	35660	103639
256	35797	103492
257	35930	103334
258	36066	103186
259	36210	103061
260	36342	102900
261	36474	102740
262	36615	102607
263	36742	102432
264	36876	102279
265	37004	102111
266	37163	102024
267	37299	101876
268	37434	101727
269	37575	101592
270	37707	101434
271	37842	101284
272	37972	101121
273	38108	100974
274	38242	100822
275	38375	100667
276	38520	100543
277	38669	100428
278	38819	100319
279	38967	100202
280	39104	100057
281	39247	99927
282	39388	99794
283	39542	99691
284	39700	99599
285	39843	99468
286	40000	99374
287	40148	99255
288	40288	99118
289	40423	98967
290	40551	98801
291	40688	98656
292	40817	98492
293	40957	98352
294	41097	98217
295	41235	98074
296	41373	97931
297	41510	97786
298	41652	97653
299	41786	97501
300	41923	97357
301	42065	97224
302	42202	97079
303	42348	96956
304	42499	96842
305	42635	96696
306	42771	96548
307	42907	96402
308	43049	96268
309	43186	96124
310	43336	96009
311	43481	95881
312	43626	95755
313	43753	95588
314	43887	95438
315	44018	95281
316	44158	95143
317	44293	94995
318	44426	94841
319	44563	94696
320	44698	94548
321	44829	94393
322	44965	94247
323	45102	94101
324	45234	93948
325	45373	93809
326	45504	93652
327	45644	93514
328	45768	93346
329	45906	93204
330	46043	93061
331	46175	92906
332	46310	92759
333	46440	92602
334	46579	92464
335	46720	92328
336	46854	92179
337	46987	92028
338	47116	91869
339	47247	91715
340	47388	91581
341	47519	91426
342	47653	91278
343	47793	91141
344	47923	90985
345	48071	90862
346	48204	90714
347	48344	90576
348	48483	90437
349	48616	90287
350	48750	90139
351	48883	89989
352	49017	89842
353	49147	89686
354	49283	89543
355	49428	89415
356	49558	89260
357	49695	89118
358	49827	88966
359	49958	88814
360	50098	88679
361	50238	88542
362	50375	88400
363	50509	88253
364	50651	88119
365	50784	87970
366	50922	87831
367	51052	87676
368	51181	87521
369	51329	87399
370	51470	87263
371	51605	87119
372	51740	86973
373	51885	86845
374	52019	86699
375	52161	86565
376	52307	86438
377	52466	86334
378	52619	86218
379	52769	86097
380	52912	85965
381	53048	85821
382	53183	85677
383	53321	85535
384	53462	85400
385	53597	85255
386	53743	85128
387	53881	84988
388	54024	84855
389	54160	84712
390	54309	84590
391	54451	84455
392	54588	84313
393	54731	84180
394	54869	84040
395	55027	83930
396	55159	83782
397	55296	83639
398	55450	83522
399	55593	83390
400	55732	83250
401	55880	83125
402	56019	82986
403	56157	82846
404	56295	82705
405	56432	82563
406	56569	82421
407	56709	82283
408	56846	82142
409	56991	82011
410	57132	81876
411	57270	81735
412	57405	81591
413	57541	81447
414	57673	81299
415	57807	81153
416	57941	81007
417	58077	80863
418	58211	80717
419	58345	80571
420	58471	80415
421	58605	80270
422	58752	80142
423	58898	80013
424	59034	79870
425	59180	79741
426	59340	79629
427	59484	79497
428	59619	79353
429	59756	79211
430	59890	79066
431	60025	78922
432	60164	78783
433	60296	78635
434	60438	78500
435	60569	78351
436	60698	78199
437	60826	78047
438	60957	77897
439	61090	77752
440	61230	77614
441	61371	77478
442	61502	77328
443	61640	77189
444	61786	77059
445	61927	76923
446	62068	76787
447	62207	76648
448	62351	76515
449	62486	76372
450	62617	76223
451	62755	76084
452	62882	75931
453	63024	75796
454	63156	75648
455	63293	75508
456	63428	75365
457	63567	75225
458	63701	75081
459	63843	74946
460	63984	74810
461	64123	74671
462	64259	74529
463	64395	74388
464	64536	74251
465	64674	74111
466	64819	73980
467	64959	73842
468	65096	73701
469	65226	73553
470	65364	73413
471	65494	73264
472	65633	73126
473	65763	72977
474	65893	72829
475	66030	72689
476	66161	72542
477	66298	72400
478	66435	72261
479	66575	72123
480	66713	71984
481	66852	71845
482	66978	71693
483	67115	71552
484	67251	71410
485	67398	71281
486	67533	71139
487	67671	70999
488	67804	70855
489	67941	70714
490	68084	70580
491	68221	70439
492	68359	70300
493	68486	70150
494	68626	70012
495	68760	69869
496	68890	69721
497	69026	69581
498	69157	69434
499	69289	69289
500	69416	69139
501	69556	69002
502	69695	68863
503	69830	68722
504	69974	68588
505	70121	68458
506	70270	68330
507	70414	68196
508	70571	68075
509	70715	67942
510	70864	67813
511	71015	67687
512	71161	67554
513	71305	67420
514	71442	67280
515	71588	67148
516	71734	67017
517	71874	66879
518	72010	66738
519	72147	66597
520	72282	66455
521	72426	66321
522	72563	66181
523	72689	66030
524	72829	65893
525	72969	65755
526	73109	65617
527	73238	65470
528	73368	65324
529	73495	65175
530	73634	65036
531	73763	64889
532	73899	64748
533	74032	64605
534	74160	64457
535	74292	64312
536	74423	64167
537	74561	64028
538	74693	63884
539	74823	63738
540	74964	63602
541	75099	63460
542	75230	63315
543	75373	63181
544	75547	63071
545	75692	62938
546	75837	62805
547	75981	62671
548	76135	62544
549	76274	62406
550	76403	62260
551	76540	62119
552	76667	61971
553	76792	61822
554	76922	61676
555	77060	61537
556	77194	61395
557	77327	61251
558	77456	61106
559	77591	60964
560	77721	60819
561	77857	60678
562	77998	60542
563	78137	60404
564	78269	60260
565	78414	60127
566	78548	59984
567	78684	59844
568	78820	59704
569	78957	59564
570	79104	59431
571	79240	59291
572	79385	59158
573	79519	59016
574	79644	58867
575	79778	58725
576	79907	58580
577	80036	58435
578	80172	58294
579	80301	58149
580	80435	58007
581	80572	57868
582	80702	57723
583	80834	57580
584	80966	57437
585	81106	57300
586	81242	57160
587	81380	57021
588	81514	56879
589	81648	56738
590	81776	56593
591	81908	56450
592	82049	56314
593	82188	56175
594	82326	56037
595	82457	55894
596	82587	55750
597	82721	55608
598	82858	55469
599	82997	55331
600	83131	55190
601	83271	55053
602	83412	54916
603	83541	54772
604	83672	54629
605	83805	54487
606	83936	54344
607	84078	54208
608	84213	54068
609	84356	53932
610	84494	53794
611	84630	53654
612	84757	53509
613	84889	53366
614	85026	53227
615	85157	53084
616	85300	52950
617	85444	52815
618	85575	52672
619	85701	52526
620	85833	52384
621	85970	52245
622	86098	52101
623	86238	51964
624	86371	51822
625	86518	51689
626	86652	51549
627	86784	51407
628	86923	51269
629	87060	51130
630	87186	50985
631	87326	50848
632	87481	50719
633	87618	50581
634	87765	50448
635	87906	50311
636	88047	50174
637	88182	50034
638	88316	49894
639	88447	49751
640	88585	49613
641	88717	49471
642	88856	49333
643	88999	49198
644	89130	49056
645	89261	48914
646	89402	48777
647	89529	48633
648	89657	48489
649	89788	48347
650	89935	48214
651	90066	48072
652	90199	47931
653	90337	47793
654	90463	47648
655	90593	47506
656	90736	47370
657	90862	47226
658	90999	47087
659	91135	46948
660	91271	46809
661	91419	46676
662	91560	46539
663	91691	46398
664	91817	46253
665	91958	46117
666	92097	45979
667	92225	45836
668	92361	45697
669	92498	45559
670	92636	45421
671	92774	45282
672	92906	45141
673	93054	45008
674	93192	44870
675	93323	44729
676	93459	44589
677	93589	44448
678	93722	44307
679	93859	44169
680	93995	44030
681	94131	43891
682	94268	43752
683	94399	43611
684	94543	43476
685	94677	43336
686	94816	43198
687	94943	43055
688	95082	42918
689	95211	42776
690	95356	42641
691	95497	42504
692	95622	42360
693	95760	42222
694	95903	42086
695	96042	41949
696	96182	41812
697	96314	41671
698	96440	41528
699	96564	41384
700	96696	41244
701	96834	41106
702	96974	40969
703	97107	40829
704	97248	40692
705	97382	40553
706	97519	40414
707	97656	40276
708	97787	40135
709	97920	39995
710	98063	39860
711	98196	39720
712	98332	39581
713	98463	39440
714	98602	39302
715	98738	39164
716	98871	39024
717	99013	38888
718	99153	38751
719	99285	38611
720	99418	38471
721	99565	38336
722	99724	38207
723	99869	38071
724	100009	37934
725	100156	37800
726	100300	37664
727	100435	37525
728	100573	37387
729	100709	37248
730	100843	37109
731	100987	36973
732	101115	36832
733	101247	36691
734	101386	36554
735	101514	36412
736	101650	36274
737	101797	36139
738	101942	36003
739	102091	35870
740	102241	35736
741	102388	35601
742	102537	35467
743	102684	35332
744	102835	35198
745	102986	35065
746	103138	34931
747	103281	34795
748	103421	34657
749	103560	34520
750	103699	34382
751	103843	34246
752	103981	34108
753	104118	33969
754	104263	33833
755	104397	33694
756	104528	33554
757	104660	33414
758	104795	33275
759	104930	33136
760	105066	32997
761	105204	32859
762	105341	32720
763	105468	32579
764	105610	32442
765	105763	32308
766	105931	32179
767	106076	32044
768	106206	31903
769	106353	31768
770	106500	31632
771	106643	31495
772	106781	31357
773	106917	31218
774	107056	31081
775	107195	30943
776	107327	30803
777	107480	30669
778	107627	30533
779	107767	30396
780	107898	30255
781	108028	30115
782	108158	29974
783	108288	29834
784	108432	29698
785	108582	29563
786	108720	29425
787	108860	29287
788	108997	29148
789	109133	29010
790	109275	28872
791	109412	28734
792	109553	28597
793	109692	28459
794	109831	28321
795	109982	28186
796	110131	28050
797	110276	27914
798	110417	27777
799	110552	27638
800	110690	27499
801	110830	27362
802	110968	27223
803	111099	27083
804	111232	26944
805	111376	26807
806	111531	26673
807	111674	26536
808	111821	26400
809	111968	26264
810	112107	26126
811	112254	25989
812	112394	25852
813	112531	25713
814	112667	25574
815	112797	25434
816	112935	25296
817	113066	25156
818	113201	25017
819	113339	24879
820	113473	24740
821	113606	24600
822	113751	24464
823	113884	24324
824	114028	24187
825	114180	24052
826	114325	23915
827	114453	23775
828	114592	23637
829	114721	23497
830	114854	23357
831	114999	23221
832	115125	23080
833	115269	22943
834	115422	22808
835	115563	22670
836	115702	22532
837	115841	22394
838	115981	22256
839	116117	22117
840	116255	21979
841	116388	21840
842	116520	21700
843	116661	21563
844	116802	21425
845	116947	21288
846	117078	21148
847	117215	21010
848	117351	20871
849	117487	20733
850	117636	20596
851	117767	20457
852	117900	20318
853	118033	20179
854	118175	20041
855	118312	19903
856	118450	19764
857	118583	19625
858	118717	19486
859	118854	19348
860	118992	19210
861	119144	19074
862	119296	18938
863	119438	18800
864	119584	18663
865	119738	18527
866	119885	18390
867	120025	18252
868	120178	18116
869	120332	17980
870	120481	17843
871	120628	17707
872	120780	17570
873	120928	17433
874	121078	17296
875	121230	17160
876	121358	17020
877	121495	16882
878	121638	16744
879	121773	16605
880	121905	16466
881	122041	16327
882	122186	16190
883	122315	16050
884	122447	15911
885	122577	15771
886	122709	15632
887	122835	15492
888	122969	15353
889	123106	15215
890	123235	15075
891	123371	14937
892	123509	14799
893	123646	14660
894	123790	14522
895	123932	14385
896	124082	14248
897	124219	14109
898	124361	13971
899	124502	13833
900	124655	13696
901	124801	13559
902	124933	13420
903	125080	13282
904	125224	13145
905	125362	13006
906	125513	12869
907	125650	12731
908	125781	12592
909	125925	12454
910	126062	12315
911	126195	12176
912	126336	12038
913	126480	11900
914	126615	11762
915	126763	11624
916	126900	11486
917	127044	11348
918	127179	11209
919	127314	11070
920	127461	10933
921	127600	10794
922	127746	10657
923	127891	10519
924	128043	10381
925	128193	10244
926	128344	10106
927	128490	9969
928	128641	9831
929	128780	9693
930	128921	9554
931	129069	9417
932	129202	9278
933	129342	9139
934	129477	9001
935	129617	8862
936	129744	8723
937	129875	8584
938	130015	8446
939	130159	8308
940	130288	8169
941	130430	8030
942	130582	7893
943	130712	7754
944	130844	7615
945	130981	7476
946	131112	7337
947	131250	7199
948	131389	7060
949	131536	6922
950	131677	6784
951	131822	6646
952	131970	6508
953	132107	6369
954	132245	6231
955	132380	6092
956	132517	5954
957	132660	5815
958	132803	5677
959	132940	5539
960	133075	5400
961	133217	5262
962	133361	5123
963	133504	4985
964	133651	4847
965	133802	4709
966	133947	4571
967	134087	4432
968	134229	4294
969	134374	4155
970	134517	4017
971	134664	3879
972	134813	3740
973	134951	3602
974	135083	3463
975	135219	3325
976	135348	3186
977	135483	3047
978	135614	2908
979	135749	2770
980	135886	2631
981	136036	2493
982	136166	2354
983	136299	2216
984	136432	2077
985	136572	1939
986	136708	1800
987	136849	1662
988	136978	1523
989	137115	1385
990	137242	1246
991	137381	1107
992	137521	969
993	137661	830
994	137809	692
995	137944	553
996	138073	415
997	138206	276
998	138348	138
999	138489	0
